Drug,Protein
DB00552,P00813
DB06176,Q9UBN7
DB02546,Q9UBN7
DB06603,Q9UBN7
DB06176,Q9UQL6
DB02546,Q9UQL6
DB06603,Q9UQL6
DB09074,Q9UGN5
DB12332,Q9UGN5
DB12332,Q9Y6F1
DB09220,O60706
DB09073,P11802
DB11730,P11802
DB09073,Q00534
DB11730,Q00534
DB00574,Q99720
DB00514,Q99720
DB00309,Q13509
DB08871,Q13509
DB01394,Q13509
DB06772,Q13509
DB00361,Q13509
DB01196,Q13509
DB01229,Q13509
DB01248,Q13509
DB00541,Q13509
DB04845,Q13509
DB04845,P68371
DB01394,P68371
DB01248,P68371
DB01229,P68371
DB06772,P68371
DB00541,P68371
DB00361,P68371
DB00309,P68371
DB01196,P68371
DB08871,P68371
DB08820,P13569
DB09280,P13569
DB11712,P13569
DB00471,Q9Y271
DB00549,Q9Y271
DB00824,Q9Y233
DB01303,Q9Y233
DB01113,Q9Y233
DB00651,Q9Y233
DB01223,Q9Y233
DB00277,Q9Y233
DB06698,Q9Y5N1
DB05381,Q9Y5N1
DB00091,Q99653
DB00864,Q99653
DB00376,P11229
DB09300,P11229
DB00747,P11229
DB00411,P11229
DB00245,P11229
DB01062,P11229
DB00810,P11229
DB09076,P11229
DB00809,P11229
DB00340,P11229
DB00477,P11229
DB01231,P11229
DB00462,P11229
DB08897,P11229
DB00424,P11229
DB00670,P11229
DB00387,P11229
DB12278,P11229
DB00392,P11229
DB00725,P11229
DB00383,P11229
DB00572,P11229
DB00517,P11229
DB00728,P11229
DB09119,Q9UI33
DB01320,Q9UI33
DB00907,Q9UI33
DB00892,Q9UI33
DB00776,Q9UI33
DB00564,Q9UI33
DB00527,Q9UI33
DB09085,Q9UI33
DB00273,Q9UI33
DB00750,Q9UI33
DB00280,Q9UI33
DB00909,Q9UI33
DB06201,Q9UI33
DB01182,Q9UI33
DB01086,Q9UI33
DB00281,Q9UI33
DB01118,Q9UI33
DB01426,Q9UI33
DB00721,Q9UI33
DB00532,Q9UI33
DB01228,Q9UI33
DB01056,Q9UI33
DB00908,Q9UI33
DB00807,Q9UI33
DB01002,Q9UI33
DB00961,Q9UI33
DB01161,Q9UI33
DB01195,Q9UI33
DB00252,Q9UI33
DB00555,Q9UI33
DB01231,P08172
DB00747,P08172
DB00424,P08172
DB08897,P08172
DB00392,P08172
DB12278,P08172
DB00376,P08172
DB00728,P08172
DB00477,P08172
DB00670,P08172
DB00810,P08172
DB00462,P08172
DB00383,P08172
DB00209,P08172
DB09076,P08172
DB06702,P08172
DB00340,P08172
DB00245,P08172
DB01085,P08172
DB00725,P08172
DB00387,P08172
DB01062,P08172
DB00572,P08172
DB09300,P08172
DB00809,P08172
DB00517,P08172
DB08801,P08172
DB00411,P08172
DB01062,P20309
DB00387,P20309
DB01085,P20309
DB00670,P20309
DB08897,P20309
DB00809,P20309
DB09300,P20309
DB00572,P20309
DB00245,P20309
DB00810,P20309
DB00376,P20309
DB00424,P20309
DB01591,P20309
DB00517,P20309
DB09076,P20309
DB01231,P20309
DB00340,P20309
DB00477,P20309
DB00411,P20309
DB00185,P20309
DB00496,P20309
DB06702,P20309
DB00209,P20309
DB00986,P20309
DB00747,P20309
DB00725,P20309
DB12278,P20309
DB01036,P20309
DB00462,P20309
DB00383,P20309
DB00728,P20309
DB00392,P20309
DB00424,P08173
DB00376,P08173
DB00809,P08173
DB00810,P08173
DB00747,P08173
DB00387,P08173
DB00462,P08173
DB12278,P08173
DB01062,P08173
DB08897,P08173
DB00517,P08173
DB09300,P08173
DB09076,P08173
DB00340,P08173
DB00392,P08173
DB00572,P08173
DB00728,P08173
DB00477,P08173
DB00670,P08173
DB01231,P08173
DB00245,P08173
DB00411,P08173
DB00725,P08173
DB00376,P08912
DB00387,P08912
DB00670,P08912
DB00245,P08912
DB09076,P08912
DB00747,P08912
DB00810,P08912
DB00340,P08912
DB08897,P08912
DB00462,P08912
DB00392,P08912
DB00725,P08912
DB00411,P08912
DB01062,P08912
DB00728,P08912
DB00517,P08912
DB00572,P08912
DB00424,P08912
DB09300,P08912
DB12278,P08912
DB01231,P08912
DB00809,P08912
DB00477,P08912
DB00184,P02708
DB00416,P02708
DB01135,Q15822
DB00732,Q15822
DB00184,Q15822
DB00728,Q15822
DB00728,P32297
DB01135,P32297
DB00732,P32297
DB00184,P32297
DB01135,P43681
DB00732,P43681
DB00184,P43681
DB00728,P43681
DB00732,P30532
DB00728,P30532
DB00184,P30532
DB01135,P30532
DB00732,P36544
DB00184,P36544
DB01135,P36544
DB00728,P36544
DB01135,P17787
DB00732,P17787
DB00728,P17787
DB00184,P17787
DB01135,Q05901
DB00728,Q05901
DB00732,Q05901
DB00184,Q05901
DB00732,P30926
DB00728,P30926
DB00184,P30926
DB01135,P30926
DB11560,Q96S37
DB01173,Q8TCU5
DB00949,Q8TCU5
DB00949,O60391
DB01173,O60391
DB01046,P51788
DB01213,P07327
DB01213,P00325
DB01213,P00326
DB00470,P21554
DB06155,P21554
DB00486,P21554
DB00486,P34972
DB00470,P34972
DB00323,P21964
DB00494,P21964
DB00640,P30542
DB01223,P30542
DB00277,P30542
DB00824,P30542
DB00651,P30542
DB01303,P30542
DB00201,P30542
DB00824,P29274
DB00201,P29274
DB01303,P29274
DB00640,P29274
DB06213,P29274
DB00277,P29275
DB00640,P29275
DB01223,P29275
DB00651,P29275
DB00824,P29275
DB06775,P31327
DB09067,P34998
DB09074,P09874
DB12332,P09874
DB01268,P07333
DB01608,P25100
DB00388,P25100
DB00696,P25100
DB01162,P25100
DB09205,P25100
DB00449,P25100
DB00211,P25100
DB00723,P25100
DB01118,P25100
DB00334,P25100
DB00590,P25100
DB00699,P25100
DB00368,P25100
DB08950,P25100
DB00298,P25100
DB01149,P25100
DB00598,P25100
DB06262,P25100
DB00450,P25100
DB00457,P25100
DB00226,P25100
DB01253,P25100
DB06711,P25100
DB00353,P25100
DB06764,P25100
DB13345,P25100
DB01136,P25100
DB06694,P25100
DB04855,P25100
DB00852,P25100
DB01364,P25100
DB00668,P25100
DB01136,P35368
DB00852,P35368
DB01253,P35368
DB00723,P35368
DB00334,P35368
DB00668,P35368
DB00699,P35368
DB01118,P35368
DB06694,P35368
DB01149,P35368
DB00388,P35368
DB08950,P35368
DB13345,P35368
DB00449,P35368
DB06711,P35368
DB00696,P35368
DB00368,P35368
DB01608,P35368
DB06764,P35368
DB00598,P35368
DB00226,P35368
DB00353,P35368
DB00450,P35368
DB04855,P35368
DB00211,P35368
DB09205,P35368
DB01364,P35368
DB00590,P35368
DB01162,P35368
DB00457,P35368
DB06262,P35368
DB00298,P35368
DB00852,P35348
DB00226,P35348
DB00590,P35348
DB01608,P35348
DB06711,P35348
DB01118,P35348
DB01136,P35348
DB00935,P35348
DB00699,P35348
DB06207,P35348
DB01253,P35348
DB00298,P35348
DB01149,P35348
DB00723,P35348
DB08950,P35348
DB00696,P35348
DB00457,P35348
DB00449,P35348
DB06694,P35348
DB00211,P35348
DB01364,P35348
DB00598,P35348
DB00353,P35348
DB06764,P35348
DB01162,P35348
DB00388,P35348
DB00450,P35348
DB00668,P35348
DB00346,P35348
DB00334,P35348
DB06262,P35348
DB04855,P35348
DB13345,P35348
DB00368,P35348
DB09205,P35348
DB00363,P08913
DB00633,P08913
DB06707,P08913
DB01364,P08913
DB00217,P08913
DB01100,P08913
DB00852,P08913
DB00449,P08913
DB00484,P08913
DB01018,P08913
DB13345,P08913
DB00968,P08913
DB00575,P08913
DB06262,P08913
DB01253,P08913
DB00226,P08913
DB00477,P08913
DB00629,P08913
DB09242,P08913
DB00353,P08913
DB00368,P08913
DB00370,P08913
DB06694,P08913
DB00668,P08913
DB06694,P18089
DB06262,P18089
DB00629,P18089
DB00226,P18089
DB00217,P18089
DB01253,P18089
DB00363,P18089
DB00668,P18089
DB00449,P18089
DB00575,P18089
DB00368,P18089
DB00852,P18089
DB09242,P18089
DB00968,P18089
DB00370,P18089
DB00353,P18089
DB00633,P18089
DB06707,P18089
DB00484,P18089
DB13345,P18089
DB01364,P18089
DB00477,P18089
DB00368,P18825
DB00477,P18825
DB00370,P18825
DB00629,P18825
DB00217,P18825
DB00449,P18825
DB06694,P18825
DB00226,P18825
DB01364,P18825
DB00968,P18825
DB00575,P18825
DB00363,P18825
DB00852,P18825
DB00484,P18825
DB00668,P18825
DB01253,P18825
DB09242,P18825
DB06707,P18825
DB00353,P18825
DB06262,P18825
DB00633,P18825
DB13345,P18825
DB06262,P08588
DB01359,P08588
DB00187,P08588
DB01136,P08588
DB01102,P08588
DB00598,P08588
DB00571,P08588
DB01118,P08588
DB01364,P08588
DB00335,P08588
DB00368,P08588
DB00668,P08588
DB00449,P08588
DB04861,P08588
DB01203,P08588
DB00841,P08588
DB00521,P08588
DB00264,P08588
DB01297,P08588
DB04846,P08588
DB00612,P08588
DB00852,P08588
DB01193,P08588
DB00960,P08588
DB13781,P08588
DB01214,P08588
DB04855,P08588
DB00983,P07550
DB00816,P07550
DB00221,P07550
DB00852,P07550
DB00960,P07550
DB01203,P07550
DB00368,P07550
DB01359,P07550
DB13139,P07550
DB00571,P07550
DB06262,P07550
DB01102,P07550
DB09080,P07550
DB00449,P07550
DB00668,P07550
DB01136,P07550
DB00867,P07550
DB05039,P07550
DB01214,P07550
DB00521,P07550
DB01364,P07550
DB00938,P07550
DB01274,P07550
DB01288,P07550
DB01001,P07550
DB00598,P07550
DB09082,P07550
DB00852,P13945
DB00449,P13945
DB00521,P13945
DB00571,P13945
DB01214,P13945
DB00368,P13945
DB14895,P13945
DB01359,P13945
DB00960,P13945
DB01102,P13945
DB01364,P13945
DB00668,P13945
DB06262,P13945
DB08893,P13945
DB01011,P15538
DB05812,P05093
DB00648,P05093
DB01006,P11511
DB00357,P11511
DB01217,P11511
DB00990,P11511
DB00894,P11511
DB09477,P12821
DB01340,P12821
DB00178,P12821
DB00584,P12821
DB00542,P12821
DB13166,P12821
DB00881,P12821
DB01197,P12821
DB00519,P12821
DB00790,P12821
DB01348,P12821
DB00492,P12821
DB00722,P12821
DB12783,P20711
DB00190,P20711
DB00969,Q8WXA8
DB00904,Q8WXA8
DB00363,Q8WXA8
DB00370,Q8WXA8
DB09068,Q8WXA8
DB00377,Q8WXA8
DB01157,P00374
DB00563,P00374
DB06813,P00374
DB00642,P00374
DB08880,Q02127
DB01097,Q02127
DB01418,P15559
DB00928,P26358
DB01262,P26358
DB00928,Q9Y6K1
DB01262,Q9Y6K1
DB00928,Q9UBC3
DB01262,Q9UBC3
DB01080,P80404
DB00313,P80404
DB01597,P16444
DB06203,P27487
DB08882,P27487
DB06335,P27487
DB01261,P27487
DB09257,Q12882
DB01235,P21728
DB00988,P21728
DB01624,P21728
DB00875,P21728
DB01621,P21728
DB01239,P21728
DB00800,P21728
DB00714,P21728
DB00477,P14416
DB00734,P14416
DB00420,P14416
DB00502,P14416
DB06016,P14416
DB00714,P14416
DB00933,P14416
DB01233,P14416
DB00391,P14416
DB01608,P14416
DB00988,P14416
DB01267,P14416
DB00589,P14416
DB00508,P14416
DB00268,P14416
DB01624,P14416
DB08815,P14416
DB00372,P14416
DB01200,P14416
DB01238,P14416
DB00623,P14416
DB00831,P14416
DB01235,P14416
DB00850,P14416
DB01224,P14416
DB01618,P14416
DB00490,P14416
DB01621,P14416
DB06288,P14416
DB04946,P14416
DB00413,P14416
DB00433,P14416
DB01184,P14416
DB06144,P14416
DB00246,P14416
DB00875,P14416
DB09128,P14416
DB14185,P14416
DB00248,P14416
DB00450,P14416
DB00334,P14416
DB09225,P14416
DB05271,P14416
DB01239,P14416
DB01623,P14416
DB00408,P14416
DB01403,P14416
DB06216,P14416
DB01100,P14416
DB00679,P14416
DB00268,P35462
DB00334,P35462
DB14185,P35462
DB01238,P35462
DB00589,P35462
DB06288,P35462
DB01235,P35462
DB00413,P35462
DB01623,P35462
DB00988,P35462
DB00363,P21917
DB00413,P21917
DB00589,P21917
DB01235,P21917
DB00334,P21917
DB00268,P21917
DB00988,P21917
DB01235,P21918
DB00988,P21918
DB00678,P30556
DB08822,P30556
DB00876,P30556
DB00177,P30556
DB00275,P30556
DB00966,P30556
DB00796,P30556
DB01029,P30556
DB08868,P21453
DB00559,P25101
DB08932,P25101
DB06268,P25101
DB00559,P24530
DB08932,P24530
DB11963,P00533
DB01259,P00533
DB00530,P00533
DB05294,P00533
DB00179,P00533
DB08916,P00533
DB00317,P00533
DB01254,P29317
DB09068,Q70Z44
DB00377,Q70Z44
DB00363,Q70Z44
DB00969,Q70Z44
DB00370,Q70Z44
DB00904,Q70Z44
DB00309,P07437
DB06772,P07437
DB01394,P07437
DB01229,P07437
DB01196,P07437
DB04845,P07437
DB08871,P07437
DB00361,P07437
DB01248,P07437
DB00541,P07437
DB01259,P04626
DB08916,P04626
DB11963,P04626
DB08916,Q15303
DB11963,Q15303
DB04575,P03372
DB01357,P03372
DB00890,P03372
DB00255,P03372
DB00823,P03372
DB04573,P03372
DB06202,P03372
DB13954,P03372
DB00977,P03372
DB00947,P03372
DB00783,P03372
DB13952,P03372
DB04938,P03372
DB00675,P03372
DB00304,P03372
DB00882,P03372
DB06401,P03372
DB00655,P03372
DB01708,P03372
DB09070,P03372
DB01406,P03372
DB00947,Q92731
DB04573,Q92731
DB00882,Q92731
DB00255,Q92731
DB00783,Q92731
DB01708,Q92731
DB01357,Q92731
DB06202,Q92731
DB06401,Q92731
DB13952,Q92731
DB13954,Q92731
DB00890,Q92731
DB00675,Q92731
DB00655,Q92731
DB00006,P00734
DB06695,P00734
DB09030,P25116
DB09075,P00742
DB06228,P00742
DB06605,P00742
DB00822,P05091
DB00822,P30837
DB00399,P14324
DB00282,P14324
DB00884,P14324
DB00822,P51648
DB08896,P11362
DB09078,P11362
DB09079,P11362
DB09079,P22607
DB09078,P22607
DB09079,P21802
DB09078,P21802
DB09078,P22455
DB08896,P17948
DB06626,P17948
DB09079,P17948
DB06589,P17948
DB09078,P17948
DB01268,P17948
DB01268,P36888
DB06595,P36888
DB00398,P36888
DB09079,P35916
DB06626,P35916
DB01268,P35916
DB06589,P35916
DB00398,P35916
DB09078,P35916
DB08896,P35916
DB00703,Q9ULX7
DB00869,Q9ULX7
DB01144,Q9ULX7
DB00819,Q9ULX7
DB09063,Q9UM73
DB11363,Q9UM73
DB08865,Q9UM73
DB00744,P09917
DB06287,P42345
DB01590,P42345
DB00877,P42345
DB01254,P00519
DB04868,P00519
DB00619,P00519
DB08901,P00519
DB06616,P00519
DB01254,P06241
DB00491,P10253
DB00284,P10253
DB00181,Q9UBS5
DB02530,Q9UBS5
DB00418,P14867
DB01544,P14867
DB01205,P14867
DB00842,P14867
DB01353,P14867
DB01198,P14867
DB01559,P14867
DB00312,P14867
DB01068,P14867
DB00186,P14867
DB00349,P14867
DB01437,P14867
DB00231,P14867
DB01588,P14867
DB00690,P14867
DB00292,P14867
DB02530,P14867
DB00273,P14867
DB00801,P14867
DB00628,P14867
DB00371,P14867
DB01595,P14867
DB01589,P14867
DB00818,P14867
DB00404,P14867
DB00849,P14867
DB00474,P14867
DB00306,P14867
DB06716,P14867
DB00683,P14867
DB01107,P14867
DB00897,P14867
DB00237,P14867
DB01558,P14867
DB01174,P14867
DB01351,P14867
DB00829,P14867
DB00962,P14867
DB01215,P14867
DB00475,P14867
DB01154,P14867
DB00371,P47869
DB00628,P47869
DB00842,P47869
DB01437,P47869
DB00829,P47869
DB00818,P47869
DB01588,P47869
DB01595,P47869
DB01559,P47869
DB01353,P47869
DB01154,P47869
DB00306,P47869
DB00231,P47869
DB01544,P47869
DB01558,P47869
DB01205,P47869
DB00273,P47869
DB02530,P47869
DB01589,P47869
DB00418,P47869
DB00312,P47869
DB00683,P47869
DB00237,P47869
DB01174,P47869
DB00349,P47869
DB00801,P47869
DB00849,P47869
DB01198,P47869
DB01215,P47869
DB00690,P47869
DB01351,P47869
DB00475,P47869
DB00404,P47869
DB06716,P47869
DB00897,P47869
DB01068,P47869
DB00186,P47869
DB00231,P34903
DB00306,P34903
DB01437,P34903
DB01559,P34903
DB00237,P34903
DB01558,P34903
DB01588,P34903
DB00849,P34903
DB00897,P34903
DB00818,P34903
DB00273,P34903
DB00829,P34903
DB01589,P34903
DB00690,P34903
DB01174,P34903
DB00475,P34903
DB00842,P34903
DB01198,P34903
DB01205,P34903
DB00404,P34903
DB01351,P34903
DB00683,P34903
DB01068,P34903
DB00628,P34903
DB02530,P34903
DB01353,P34903
DB00371,P34903
DB00801,P34903
DB01544,P34903
DB00418,P34903
DB00349,P34903
DB00186,P34903
DB01595,P34903
DB01154,P34903
DB01215,P34903
DB06716,P34903
DB00312,P34903
DB02530,P48169
DB00404,P48169
DB00306,P48169
DB00690,P48169
DB00371,P48169
DB01437,P48169
DB00273,P48169
DB00683,P48169
DB01558,P48169
DB01174,P48169
DB01215,P48169
DB01589,P48169
DB00349,P48169
DB01351,P48169
DB00418,P48169
DB00628,P48169
DB00842,P48169
DB00237,P48169
DB01154,P48169
DB00829,P48169
DB00186,P48169
DB00897,P48169
DB00818,P48169
DB01559,P48169
DB00801,P48169
DB01544,P48169
DB00475,P48169
DB01353,P48169
DB00312,P48169
DB01595,P48169
DB01198,P48169
DB00231,P48169
DB00849,P48169
DB01068,P48169
DB06716,P48169
DB01588,P48169
DB01205,P48169
DB00186,P31644
DB01558,P31644
DB01205,P31644
DB00231,P31644
DB00306,P31644
DB01351,P31644
DB01595,P31644
