Drug,Protein
DB00201,P27815
DB00201,Q07343
DB01303,Q07343
DB01223,Q07343
DB01656,Q07343
DB01113,Q07343
DB00277,Q07343
DB00651,Q07343
DB00824,Q07343
DB00651,Q08493
DB00277,Q08493
DB01113,Q08493
DB01223,Q08493
DB01303,Q08493
DB01656,Q08493
DB00824,Q08493
DB00201,Q08493
DB00277,Q08499
DB00824,Q08499
DB00651,Q08499
DB01113,Q08499
DB01656,Q08499
DB01303,Q08499
DB01223,Q08499
DB00201,Q08499
DB01113,Q13946
DB00651,Q13946
DB01303,Q13946
DB00277,Q13946
DB00824,Q13946
DB01223,Q13946
DB01223,O60658
DB01113,O60658
DB00277,O60658
DB00651,O60658
DB00824,O60658
DB01303,O60658
DB01303,Q01064
DB01113,Q01064
DB00824,Q01064
DB01223,Q01064
DB00277,Q01064
DB00201,Q01064
DB00651,Q01064
DB00619,P16234
DB06595,P16234
DB04868,P16234
DB06589,P16234
DB09079,P16234
DB01268,P16234
DB06603,Q8WUI4
DB02546,Q8WUI4
DB06176,Q8WUI4
DB06595,P09619
DB01254,P09619
DB00398,P09619
DB04868,P09619
DB01268,P09619
DB06589,P09619
DB08896,P09619
DB09079,P09619
DB01395,P06401
DB00603,P06401
DB00834,P06401
DB00378,P06401
DB06713,P06401
DB06789,P06401
DB00823,P06401
DB00351,P06401
DB09389,P06401
DB00304,P06401
DB08867,P06401
DB00396,P06401
DB00717,P06401
DB00367,P06401
DB01406,P06401
DB09371,P06401
DB00957,P06401
DB09054,O00329
DB11952,O00329
DB11952,P48736
DB00302,P00747
DB00513,P00747
DB01169,P29590
DB00755,P29590
DB00636,Q07869
DB01393,Q07869
DB01241,Q07869
DB09064,Q07869
DB01039,Q07869
DB00197,P37231
DB00412,P37231
DB01132,P37231
DB00067,P37288
DB00872,P37288
DB00067,P47901
DB00091,Q96LZ3
DB00864,Q96LZ3
DB00872,P30518
DB00035,P30518
DB00067,P30518
DB06212,P30518
DB00728,Q9UGM1
DB00184,Q9UGM1
DB00732,Q9UGM1
DB01135,Q9UGM1
DB00914,Q13131
DB00331,Q13131
DB00914,P54646
DB00331,P54646
DB06595,P17252
DB06595,P05771
DB08875,P30530
DB06595,P05129
DB11560,Q9NSA0
DB02546,Q9BY41
DB06176,Q9BY41
DB06603,Q9BY41
DB01174,Q9UN88
DB00683,Q9UN88
DB01595,Q9UN88
DB00349,Q9UN88
DB01559,Q9UN88
DB00231,Q9UN88
DB01198,Q9UN88
DB00273,Q9UN88
DB00306,Q9UN88
DB00475,Q9UN88
DB00371,Q9UN88
DB00849,Q9UN88
DB01215,Q9UN88
DB00842,Q9UN88
DB01205,Q9UN88
DB01351,Q9UN88
DB00801,Q9UN88
DB00312,Q9UN88
DB00418,Q9UN88
DB00818,Q9UN88
DB02530,Q9UN88
DB01154,Q9UN88
DB00404,Q9UN88
DB01353,Q9UN88
DB01558,Q9UN88
DB00628,Q9UN88
DB00829,Q9UN88
DB01544,Q9UN88
DB01068,Q9UN88
DB06716,Q9UN88
DB01437,Q9UN88
DB00237,Q9UN88
DB00186,Q9UN88
DB01588,Q9UN88
DB00690,Q9UN88
DB00897,Q9UN88
DB01589,Q9UN88
DB05239,Q02750
DB08911,Q02750
DB11689,Q02750
DB05239,P36507
DB11689,P36507
DB08911,P36507
DB04953,Q9NR82
DB00188,P28074
DB08889,P28074
DB08964,P34995
DB00770,P34995
DB00917,P43116
DB00929,P43116
DB00929,P43115
DB00929,P35408
DB00654,P43088
DB00429,P43088
DB00287,P43088
DB00905,P43088
DB08819,P43088
DB01160,P43088
DB11362,P43119
DB01240,P43119
DB00605,P23219
DB09212,P23219
DB01009,P23219
DB01399,P23219
DB00586,P23219
DB00712,P23219
DB00461,P23219
DB00328,P23219
DB13783,P23219
DB14006,P23219
DB09216,P23219
DB02266,P23219
DB13346,P23219
DB00812,P23219
DB06725,P23219
DB00945,P23219
DB00573,P23219
DB01050,P23219
DB00316,P23219
DB09213,P23219
DB06802,P23219
DB00469,P23219
DB00788,P23219
DB09214,P23219
DB00554,P23219
DB00991,P23219
DB00939,P23219
DB06736,P23219
DB00963,P23219
DB00784,P23219
DB00784,P35354
DB00461,P35354
DB13167,P35354
DB00316,P35354
DB02266,P35354
DB00605,P35354
DB00963,P35354
DB13346,P35354
DB00788,P35354
DB00328,P35354
DB00573,P35354
DB00712,P35354
DB00945,P35354
DB01628,P35354
DB09212,P35354
DB00812,P35354
DB09213,P35354
DB00749,P35354
DB00939,P35354
DB14006,P35354
DB01399,P35354
DB13783,P35354
DB00814,P35354
DB01050,P35354
DB01283,P35354
DB04743,P35354
DB00991,P35354
DB06725,P35354
DB09216,P35354
DB00533,P35354
DB00469,P35354
DB08439,P35354
DB00554,P35354
DB09214,P35354
DB06802,P35354
DB06736,P35354
DB01009,P35354
DB00586,P35354
DB00861,P35354
DB00482,P35354
DB00398,P04049
DB08896,P04049
DB00941,P06276
DB00989,P06276
DB00677,P06276
DB01057,P06276
DB01169,P10276
DB00755,P10276
DB00459,P10276
DB00982,P10276
DB00523,P10276
DB00799,P10276
DB00755,P10826
DB00982,P10826
DB00459,P10826
DB00523,P10826
DB00799,P10826
DB00210,P10826
DB00755,P13631
DB00799,P13631
DB00982,P13631
DB00459,P13631
DB00523,P13631
DB00210,P13631
DB05381,Q9H3N8
DB04865,P24385
DB11581,P10415
DB09026,P00797
DB01268,P07949
DB05294,P07949
DB09078,P07949
DB00398,P07949
DB08896,P07949
DB08865,P08922
DB09083,Q9UL51
DB06196,P30411
DB01073,P23921
DB00441,P23921
DB00242,P23921
DB01005,P31350
DB00307,P19793
DB00523,P19793
DB00459,P19793
DB00459,P28702
DB00210,P28702
DB00799,P28702
DB00523,P28702
DB00307,P28702
DB00523,P48443
DB00459,P48443
DB00307,P48443
DB00210,P48443
DB00281,P35498
DB01320,P35498
DB00564,P35498
DB00252,P35498
DB00721,P35498
DB00909,P35498
DB06201,P35498
DB00555,P35498
DB01056,P35498
DB00273,P35498
DB00908,P35498
DB00532,P35498
DB09119,P35498
DB00776,P35498
DB01426,P35498
DB01195,P35498
DB00907,P35498
DB00807,P35498
DB00892,P35498
DB00750,P35498
DB09085,P35498
DB01182,P35498
DB01086,P35498
DB01118,P35498
DB01002,P35498
DB00280,P35498
DB00527,P35498
DB00961,P35498
DB01228,P35498
DB01161,P35498
DB00907,Q99250
DB00281,Q99250
DB00776,Q99250
DB00252,Q99250
DB01002,Q99250
DB06201,Q99250
DB00908,Q99250
DB01426,Q99250
DB01056,Q99250
DB09085,Q99250
DB00527,Q99250
DB01118,Q99250
DB09119,Q99250
DB00721,Q99250
DB01161,Q99250
DB00532,Q99250
DB00909,Q99250
DB00750,Q99250
DB01228,Q99250
DB01086,Q99250
DB00555,Q99250
DB01320,Q99250
DB00280,Q99250
DB00564,Q99250
DB01195,Q99250
DB00807,Q99250
DB01182,Q99250
DB00273,Q99250
DB00892,Q99250
DB00961,Q99250
DB00564,Q9NY46
DB01320,Q9NY46
DB00776,Q9NY46
DB00807,Q9NY46
DB00555,Q9NY46
DB01161,Q9NY46
DB00909,Q9NY46
DB01002,Q9NY46
DB01118,Q9NY46
DB01195,Q9NY46
DB00908,Q9NY46
DB01182,Q9NY46
DB00273,Q9NY46
DB00252,Q9NY46
DB00907,Q9NY46
DB00721,Q9NY46
DB01228,Q9NY46
DB01056,Q9NY46
DB06218,Q9NY46
DB00750,Q9NY46
DB01086,Q9NY46
DB00280,Q9NY46
DB09085,Q9NY46
DB00527,Q9NY46
DB00961,Q9NY46
DB00281,Q9NY46
DB01426,Q9NY46
DB00892,Q9NY46
DB09119,Q9NY46
DB00532,Q9NY46
DB06201,Q9NY46
DB01426,P35499
DB00721,P35499
DB00750,P35499
DB00907,P35499
DB00961,P35499
DB01195,P35499
DB06201,P35499
DB09085,P35499
DB09119,P35499
DB01161,P35499
DB01002,P35499
DB00252,P35499
DB01182,P35499
DB01118,P35499
DB00273,P35499
DB00281,P35499
DB01320,P35499
DB00807,P35499
DB00908,P35499
DB00564,P35499
DB00909,P35499
DB00555,P35499
DB00892,P35499
DB00532,P35499
DB00776,P35499
DB01056,P35499
DB01228,P35499
DB01086,P35499
DB00280,P35499
DB00527,P35499
DB00281,Q14524
DB00252,Q14524
DB00776,Q14524
DB00721,Q14524
DB06201,Q14524
DB09119,Q14524
DB01086,Q14524
DB00807,Q14524
DB01056,Q14524
DB00564,Q14524
DB00961,Q14524
DB00908,Q14524
DB00680,Q14524
DB00909,Q14524
DB06217,Q14524
DB01320,Q14524
DB00907,Q14524
DB09085,Q14524
DB00532,Q14524
DB01182,Q14524
DB00750,Q14524
DB00555,Q14524
DB01002,Q14524
DB00280,Q14524
DB01118,Q14524
DB00892,Q14524
DB01195,Q14524
DB00527,Q14524
DB01161,Q14524
DB01426,Q14524
DB01228,Q14524
DB00273,Q14524
DB00807,Q9UQD0
DB00961,Q9UQD0
DB01228,Q9UQD0
DB00892,Q9UQD0
DB01118,Q9UQD0
DB01086,Q9UQD0
DB01002,Q9UQD0
DB00776,Q9UQD0
DB01426,Q9UQD0
DB01056,Q9UQD0
DB01320,Q9UQD0
DB00252,Q9UQD0
DB00532,Q9UQD0
DB01195,Q9UQD0
DB00750,Q9UQD0
DB00564,Q9UQD0
DB00527,Q9UQD0
DB01182,Q9UQD0
DB09119,Q9UQD0
DB06201,Q9UQD0
DB00909,Q9UQD0
DB00273,Q9UQD0
DB00281,Q9UQD0
DB09085,Q9UQD0
DB00555,Q9UQD0
DB01161,Q9UQD0
DB00280,Q9UQD0
DB00907,Q9UQD0
DB00908,Q9UQD0
DB00721,Q9UQD0
DB01320,Q15858
DB09119,Q15858
DB00961,Q15858
DB00281,Q15858
DB00776,Q15858
DB00252,Q15858
DB00750,Q15858
DB00273,Q15858
DB00908,Q15858
DB01161,Q15858
DB01056,Q15858
DB01195,Q15858
DB00909,Q15858
DB00564,Q15858
DB00555,Q15858
DB09085,Q15858
DB01086,Q15858
DB06218,Q15858
DB00907,Q15858
DB01002,Q15858
DB00892,Q15858
DB01228,Q15858
DB00532,Q15858
DB01182,Q15858
DB00527,Q15858
DB00280,Q15858
DB00807,Q15858
DB01426,Q15858
DB06201,Q15858
DB01118,Q15858
DB00721,Q15858
DB00908,Q9Y5Y9
DB01182,Q9Y5Y9
DB01056,Q9Y5Y9
DB00281,Q9Y5Y9
DB00907,Q9Y5Y9
DB00273,Q9Y5Y9
DB00961,Q9Y5Y9
DB01086,Q9Y5Y9
DB01195,Q9Y5Y9
DB01002,Q9Y5Y9
DB00532,Q9Y5Y9
DB01320,Q9Y5Y9
DB00909,Q9Y5Y9
DB00252,Q9Y5Y9
DB00564,Q9Y5Y9
DB00527,Q9Y5Y9
DB09085,Q9Y5Y9
DB01426,Q9Y5Y9
DB00750,Q9Y5Y9
DB00892,Q9Y5Y9
DB00555,Q9Y5Y9
DB09119,Q9Y5Y9
DB00807,Q9Y5Y9
DB00776,Q9Y5Y9
DB00280,Q9Y5Y9
DB01228,Q9Y5Y9
DB00721,Q9Y5Y9
DB06201,Q9Y5Y9
DB01118,Q9Y5Y9
DB06218,Q9Y5Y9
DB01161,Q9Y5Y9
DB00594,P37088
DB00384,P37088
DB00384,P51168
DB00594,P51168
DB00594,P51170
DB00384,P51170
DB00208,Q9H244
DB06209,Q9H244
DB00758,Q9H244
DB08816,Q9H244
DB06441,Q9H244
DB06292,P31639
DB09038,P31639
DB08907,P31639
DB00996,P30531
DB08872,P30531
DB00458,P23975
DB00726,P23975
DB01242,P23975
DB04896,P23975
DB00182,P23975
DB00191,P23975
DB01142,P23975
DB09185,P23975
DB08918,P23975
DB01151,P23975
DB00579,P23975
DB01105,P23975
DB00937,P23975
DB01170,P23975
DB00321,P23975
DB09167,P23975
DB00289,P23975
DB00285,P23975
DB01576,P23975
DB00907,P23975
DB00543,P23975
DB01156,P23975
DB06204,P23975
DB00344,P23975
DB00422,P23975
DB01579,P23975
DB06700,P23975
DB00540,P23975
DB00934,P23975
DB00191,Q01959
DB00907,Q01959
DB00182,Q01959
DB01576,Q01959
DB01105,Q01959
DB00422,Q01959
DB00579,Q01959
DB01156,Q01959
DB06413,Q01959
DB00937,Q01959
DB04896,P31645
DB01242,P31645
DB00344,P31645
DB01105,P31645
DB00656,P31645
DB00215,P31645
DB00907,P31645
DB00726,P31645
DB01142,P31645
DB06684,P31645
DB00321,P31645
DB00458,P31645
DB01191,P31645
DB00540,P31645
DB00574,P31645
DB00191,P31645
DB08918,P31645
DB00579,P31645
DB00543,P31645
DB01104,P31645
DB00285,P31645
DB09167,P31645
DB00715,P31645
DB00472,P31645
DB01151,P31645
DB09068,P31645
DB06700,P31645
DB00695,Q13621
DB00310,Q13621
DB01325,Q13621
DB00903,Q13621
DB00214,Q13621
DB02925,Q13621
DB00887,Q13621
DB00774,Q13621
DB01021,Q13621
DB00214,P55011
DB00887,P55011
DB00903,P55011
DB00695,P55011
DB02925,P55011
DB00562,P55017
DB01324,P55017
DB00524,P55017
DB00808,P55017
DB00310,P55017
DB01021,P55017
DB00999,P55017
DB01325,P55017
DB00774,P55017
DB00880,P55017
DB00436,P55017
DB00206,P54219
DB01576,Q05940
DB00182,Q05940
DB00206,Q05940
DB04844,Q05940
DB09143,Q99835
DB08828,Q99835
DB01254,P12931
DB06616,P12931
DB01126,P18405
DB01196,P31213
DB01216,P31213
DB01126,P31213
DB08896,P15056
DB00398,P15056
DB08881,P15056
DB08912,P15056
DB06663,P30872
DB09099,P30872
DB06663,P30874
DB09099,P30874
DB06791,P30874
DB06663,P32745
DB09099,P32745
DB09099,P31391
DB06791,P35346
DB09099,P35346
DB06663,P35346
DB09220,Q09428
DB00912,Q09428
DB01124,Q09428
DB00222,Q09428
DB01016,Q09428
DB00839,Q09428
DB00672,Q09428
DB00350,Q09428
DB00414,Q09428
DB01067,Q09428
DB01119,Q09428
DB01120,Q09428
DB00731,Q09428
DB01251,Q09428
DB09291,P25103
DB00673,P25103
DB09053,Q06187
DB08896,Q02763
DB00765,P07101
DB00451,P10827
DB00451,P10828
DB00480,P01375
DB01041,P01375
DB08910,P01375
DB01030,P11387
DB00762,P11387
DB00276,P11388
DB00773,P11388
DB00997,P11388
DB01204,P11388
DB00444,P11388
DB00380,P11388
DB00694,P11388
DB00694,Q02880
DB00276,Q02880
DB01204,Q02880
DB00444,Q02880
DB00380,Q02880
DB00997,Q02880
DB00773,Q02880
DB00550,P07202
DB00763,P07202
DB00389,P07202
DB09421,P34981
DB11644,P02766
DB08895,P29597
DB01101,P04818
DB00322,P04818
DB00642,P04818
DB09256,P04818
DB00544,P04818
DB00293,P04818
DB09526,P14679
DB09039,Q16739
DB00419,Q16739
DB02300,P11473
DB01436,P11473
DB00136,P11473
DB00153,P11473
DB00169,P11473
DB06410,P11473
DB01070,P11473
DB00910,P11473
DB06774,Q8NER1
DB00437,P47989
DB04854,P47989
DB01254,P07947
DB01144,P00915
DB00703,P00915
DB00869,P00915
DB00819,P00915
DB01194,P00918
DB00869,P00918
DB00703,P00918
DB01144,P00918
DB00819,P00918
DB00273,P00918
DB00703,P07451
DB01144,P07451
DB00819,P07451
DB00869,P07451
DB01144,P22748
DB00703,P22748
DB00869,P22748
DB00273,P22748
DB00819,P22748
DB01144,P35218
DB00869,P35218
DB00703,P35218
DB00819,P35218
DB01144,Q16790
DB00819,Q16790
DB00703,Q16790
DB00869,Q16790
DB01144,O43570
DB00869,O43570
DB00703,O43570
DB00819,O43570
DB00273,Q13936
DB00381,Q13936
DB04920,Q13936
DB00661,Q13936
DB06712,Q13936
DB00343,Q13936
DB04855,Q13936
DB01115,Q13936
DB00393,Q13936
DB12278,Q13936
DB00401,Q13936
DB01054,Q13936
DB01023,Q13936
DB00617,Q13936
DB00270,Q13936
DB09236,Q13936
DB01244,Q13936
DB00270,Q01668
DB01054,Q01668
DB12278,Q01668
DB00343,Q01668
DB04855,Q01668
DB00393,Q01668
DB00381,Q01668
DB01244,Q01668
DB00401,Q01668
DB00661,Q01668
DB04920,Q01668
DB00617,Q01668
DB01023,Q01668
DB06712,Q01668
DB00273,Q01668
DB01115,Q01668
DB09236,Q01668
DB00273,O60840
DB00381,O60840
DB01054,O60840
DB00401,O60840
DB00343,O60840
DB01115,O60840
DB04920,O60840
DB00617,O60840
DB00393,O60840
DB12278,O60840
DB06712,O60840
DB01244,O60840
DB09236,O60840
DB00661,O60840
DB01023,O60840
DB04855,O60840
DB00270,O60840
DB00273,Q13698
DB04920,Q13698
DB00401,Q13698
DB00343,Q13698
DB01244,Q13698
DB01054,Q13698
DB00381,Q13698
DB01023,Q13698
DB00270,Q13698
DB00617,Q13698
DB00393,Q13698
DB09236,Q13698
DB01115,Q13698
DB06712,Q13698
DB00661,Q13698
DB04855,Q13698
DB12278,Q13698
DB00230,P54289
DB08872,P54289
DB00996,P54289
DB06809,P61073
DB00946,Q9BQB6
DB01418,Q9BQB6
DB00498,Q9BQB6
DB00266,Q9BQB6
DB00825,Q7Z2W7
DB00313,P51649
DB06176,Q96DB2
DB06603,Q96DB2
DB02546,Q96DB2
DB01248,Q9H4B7
DB01394,Q9H4B7
DB00541,Q9H4B7
DB06772,Q9H4B7
DB08871,Q9H4B7
DB00309,Q9H4B7
DB01229,Q9H4B7
DB01196,Q9H4B7
DB00361,Q9H4B7
DB04845,Q9H4B7
DB02546,Q969S8
DB06603,Q969S8
DB06176,Q969S8
DB01012,P41180
DB00277,O95263
DB00824,O95263
DB00651,O95263
DB01113,O95263
DB01223,O95263
DB01303,O95263
DB01275,Q16853
DB00820,O76074
DB00975,O76074
DB06267,O76074
DB00201,O76074
DB06237,O76074
DB00862,O76074
DB00203,O76074
DB02546,O15379
DB06176,O15379
DB06603,O15379
DB00403,P32238
DB00183,P32239
DB00593,Q9P0X4
DB00909,Q9P0X4
DB05246,Q9P0X4
DB01244,Q9P0X4
DB04841,Q9P0X4
DB00313,Q9P0X4
DB00909,O95180
DB01244,O95180
DB04841,O95180
DB00593,O95180
DB00313,O95180
DB05246,O95180
DB00909,O43497
DB00593,O43497
DB00313,O43497
DB01244,O43497
DB04841,O43497
DB05246,O43497
DB00284,O43451
DB00491,O43451
DB00728,Q15825
DB01135,Q15825
DB00184,Q15825
DB00732,Q15825
DB00825,O75762
DB04953,P56696
DB00969,O95264
DB09068,O95264
DB00370,O95264
DB00363,O95264
DB00889,O95264
DB00904,O95264
DB00377,O95264
DB06637,Q92953
DB08872,Q7Z3S7
DB00230,Q7Z3S7
DB00996,Q7Z3S7
DB00181,O75899
DB02530,O75899
DB06176,Q9UKV0
DB06603,Q9UKV0
DB02546,Q9UKV0
DB06176,P56524
DB02546,P56524
DB06603,P56524
DB08908,Q14145
DB01586,Q96RI1
DB05990,Q96RI1
DB06777,Q96RI1
DB02659,Q96RI1
